 ( -1.0837227119910988     ,  0.0000000000000000     ) ( -4.3501431049980592     ,  0.0000000000000000     ) ( -7.2308325972651586     ,  0.0000000000000000     )
 (  1.0087958000356885     ,  0.0000000000000000     ) (  1.3570827198193993     ,  0.0000000000000000     ) ( -1.1281512715778423     ,  0.0000000000000000     )
 (  2.0429413340895812     ,  0.0000000000000000     ) ( -3.7668604941518575     ,  0.0000000000000000     ) (  1.1094154488033594     ,  0.0000000000000000     )
 (  1.6290498324157059     ,  0.0000000000000000     ) ( 0.15964554297767330     ,  0.0000000000000000     ) ( 0.44950339584571208     ,  0.0000000000000000     )
 (-0.17028354638890325     ,  0.0000000000000000     ) ( -6.9761382355818826     ,  0.0000000000000000     ) ( -3.6578640331206751     ,  0.0000000000000000     )
 (  12.592188769223061     ,  0.0000000000000000     ) (  2.1824385250513365     ,  0.0000000000000000     ) (  6.8279914698099962     ,  0.0000000000000000     )
 ( -1.7814653763370436     ,  0.0000000000000000     ) (-0.85729707786322229     ,  0.0000000000000000     ) ( -1.9285087623366151     ,  0.0000000000000000     )
 (  7.2016931575485827     ,  0.0000000000000000     ) (  1.7530676682121609     ,  0.0000000000000000     ) (  7.1636426379429743     ,  0.0000000000000000     )
 ( 0.81853396040513959     ,  0.0000000000000000     ) ( -2.5785641151821039     ,  0.0000000000000000     ) ( 0.46285932010554320     ,  0.0000000000000000     )
 (  6.1316971127573705     ,  0.0000000000000000     ) (  8.4167913855137471     ,  0.0000000000000000     ) (  3.3268333337540046     ,  0.0000000000000000     )
 (  4.9736273108037503     ,  0.0000000000000000     ) (  2.9367195661042613     ,  0.0000000000000000     ) ( -2.1001095889814927     ,  0.0000000000000000     )
 ( -4.2860389806713508     ,  0.0000000000000000     ) (  2.2814245942539348     ,  0.0000000000000000     ) ( 0.30401866920154674     ,  0.0000000000000000     )
 ( -2.0223437450593060     ,  0.0000000000000000     ) ( -1.0872670217211744     ,  0.0000000000000000     ) (  2.2619903205165306     ,  0.0000000000000000     )
 (-0.48340808529722090     ,  0.0000000000000000     ) ( -7.0695703503732927     ,  0.0000000000000000     ) ( 0.93496165526784480     ,  0.0000000000000000     )
 (  1.4780215291486716     ,  0.0000000000000000     ) ( -1.1852493181197863     ,  0.0000000000000000     ) (-9.62625262143857463E-002,  0.0000000000000000     )
 (  5.5362174654359597     ,  0.0000000000000000     ) (  4.0203884463404327     ,  0.0000000000000000     ) (  1.3272297446328436     ,  0.0000000000000000     )
 (  1.2865749432655227     ,  0.0000000000000000     ) ( -2.7596015429786758     ,  0.0000000000000000     ) (-0.52762775724967081     ,  0.0000000000000000     )
 ( -1.9440633762170580     ,  0.0000000000000000     ) ( -2.7490445453709533     ,  0.0000000000000000     ) (-0.90514691755764920     ,  0.0000000000000000     )
 ( -2.8359421378070802     ,  0.0000000000000000     ) (-0.97142178403851731     ,  0.0000000000000000     ) ( 0.28541974630400196     ,  0.0000000000000000     )
 (  7.6035828815324056     ,  0.0000000000000000     ) ( 0.99502274846070382     ,  0.0000000000000000     ) (  4.0349393179390303     ,  0.0000000000000000     )
