 ( -2.2547615915023838     , 2.98667571370260019E-017) ( -2.9486351852358306     ,-2.03032739038895315E-017) ( -2.1173965243603949     , 1.11022302462515654E-016)
 ( 0.41731468289679730     ,-3.21950124394153848E-019) (  6.3509337699369306     ,-2.45515658597906507E-018) ( -3.5829561203390843     , 4.68941072111293202E-017)
 (-0.93098589716730884     ,-3.66618379936291594E-017) ( -1.3617075596895944     , 1.19983401035932981E-018) ( -1.3229403711576189     , 3.40554037860850192E-018)
 (-0.34420129766046320     ,-1.55295781937841553E-017) ( -1.1499931814769182     , 1.86212195457683936E-018) (-0.71389137108757428     ,-1.44601150319724857E-017)
 ( -2.0565535759135161     ,-9.96875092634007109E-018) ( 0.26445071147017440     ,-8.21990442466067706E-017) ( -2.7107890817898812     ,-1.75235824581139971E-018)
 (-0.24293162979182104     ,-7.96542056499125525E-017) ( 0.34669652864509048     ,-3.51947890802663360E-017) ( -2.0419121654621377     ,-4.71117093862315135E-018)
 ( -1.0496035605663796     ,-1.59704008493351573E-017) (-0.10748994990893146     ,-6.83901468382566927E-018) (-0.99343691736504869     , 7.61254196538076796E-018)
 (-0.21178002751874361     ,-4.95364259676080852E-018) (-0.50202824039555904     , 1.16585244091880752E-018) (-0.95714527629599566     ,-7.64035327009920317E-019)
 ( -2.6797197158737607     ,-1.31474773827455884E-016) (-0.89196279874593865     ,-1.46101325407556167E-016) ( -1.4320099102102510     ,-3.39736252961264039E-018)
 ( 0.57026518623234446     , 4.58674779244371558E-018) (  2.6116305361960883     , 8.82264058857718725E-018) (-0.87850710034123480     , 1.58357916592330933E-017)
 (-0.54627263687558547     , 1.15483722178394869E-017) (-0.49847122824715739     ,-1.65696024181521299E-016) (-0.65069545238573623     , 2.27937052472450636E-018)
 (-2.46980711068581216E-002,-1.42379402193912520E-017) (-0.50835324514325331     , 5.93311380973107967E-017) (-0.80446071493875315     , 7.98290150960328696E-018)
 (-0.60730415128121185     ,-1.57279837458758370E-016) ( 0.25534040304878824     ,-8.77673327113567137E-018) ( -2.9444457461945328     , 7.50266403709312107E-018)
 ( -1.0521355444721965     ,-1.18113851013789599E-017) ( -1.1220292816668949     ,-2.94422975319472733E-017) ( -1.4062429488818518     ,-8.45224864054704322E-019)
 ( 0.34951392017136107     , 1.59069535607067484E-017) (-0.91790924642696781     , 5.68623192942583986E-018) ( -2.5739715180373799     , 4.91811058803865182E-020)
 (-0.72353203281733669     , 2.39164682943118327E-017) ( -2.0549491102621422     ,-1.55983000366360908E-016) ( -1.4383445605641274     ,-8.35607015209743056E-017)
 ( -1.4444349503458915     , 2.83208924788798114E-017) (-0.94201540362300529     , 7.29303760571924503E-017) (  1.5250345235638905     , 3.17202139729950458E-017)
 (-4.45006859751578970E-002,-4.40058936100904022E-018) (-8.09117776471214994E-002,-4.98471953274805534E-017) ( 4.22347584910215262E-002, 2.22709377196988037E-017)
 (-0.30924809029036993     , 1.95632203761737802E-017) (  4.0821115740684197     , 2.33626524278151186E-017) (-0.27893081382759766     , 7.95306042462065230E-017)
 ( -2.2912299370857991     , 6.36655028222432983E-017) (-0.40317336052236297     , 8.32167946733582849E-018) ( -2.3986070181575130     ,-5.08467210393393437E-019)
